person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance
70455;0;0;1176381.3187317855;6109279.93461759;1175385.7105236757;6108423.310961255;22349.0;445.0;2563.630332301263;2563.630332301263;car;1313.4077023715663
13670;0;0;1201658.0170905893;6128193.143869597;1201734.9975215995;6128169.591473592;23592.0;117.0;449.4752996736941;449.4752996736941;car;80.50280812556065
82329;0;0;1176637.3088614224;6108870.512067679;1176301.26937785;6108843.739449905;23547.0;287.0;1216.3983541812897;1216.3983541812897;car;337.10429778045426
108313;0;0;1176484.8618691573;6109050.554357794;1176538.5890092996;6108178.385216437;23728.0;214.0;1618.1995610305482;1618.1995610305482;car;873.8224171552201
70018;0;0;1176784.4171727565;6110478.4262122065;1176345.3619537503;6108064.273093887;23462.0;492.0;2858.0650725719524;2858.0650725719524;car;2453.753199494581
22656;0;0;1179565.5051733172;6125052.87179232;1177345.0428071953;6125245.962439604;23550.0;632.0;3491.974813872486;3491.974813872486;car;2228.842102400223
132300;0;0;1175655.2181110189;6108619.2882712735;1176667.7385106068;6108725.767446285;23539.0;667.0;2173.779979752358;2173.779979752358;car;1018.1038131216545
121544;0;0;1177862.5339555214;6110716.310389325;1176303.3086985932;6108284.720730601;23666.0;639.0;4080.7831129906713;4080.7831129906713;car;2888.5656769852308
235223;0;0;1228462.7174563282;6121572.091407519;1231111.0580724867;6123386.82252653;23604.0;728.0;5032.037625126133;5032.037625126133;car;3210.444993066119
106360;0;0;1175670.796154908;6107779.695278814;1176523.0783688696;6108967.107848851;23496.0;875.0;2137.763725641142;2137.763725641142;car;1461.6201913346763
134577;0;0;1181294.1716057567;6111345.586028354;1179025.3643991677;6109512.584268029;23292.0;1095.0;9345.178601526595;9345.178601526595;car;2916.7416056322704
95290;0;0;1176642.7240876968;6108068.335152362;1176290.2064894424;6109090.480006485;23935.0;587.0;1363.2144442248534;1363.2144442248534;car;1081.2255823326602
84547;0;0;1176234.3382457;6110297.509741511;1176345.3619537503;6108064.273093887;23954.0;647.0;2653.225913139986;2653.225913139986;car;2235.9946753162044
262709;0;0;1230439.904578256;6112036.74949202;1230346.1471315823;6112869.019150637;24384.0;279.0;1109.9707144150507;1109.9707144150507;car;837.5340252555732
78311;0;0;1176565.423052105;6108820.378857348;1176495.3266913597;6109688.3038367815;24213.0;481.0;1061.9428253212432;1061.9428253212432;car;870.7509803119436
83797;0;0;1175965.960959757;6108194.590730912;1176636.368719786;6108989.719031791;24072.0;687.0;1748.387303416122;1748.387303416122;car;1040.0363356950627
105553;0;0;1176623.094466501;6108181.796357535;1176290.2064894424;6109090.480006485;24246.0;636.0;1273.303810599554;1273.303810599554;car;967.7398302952987
131100;0;0;1175400.0344010517;6107521.966605024;1176576.6003635156;6108963.325253836;24042.0;844.0;2509.42527697454;2509.42527697454;car;1860.5972746760929
190112;0;0;1231360.8240850419;6123244.147925308;1231023.3021778704;6123201.045725143;24812.0;92.0;360.96301232679707;360.96301232679707;car;340.2628946561203
70455;1;1;1175385.7105236757;6108423.310961255;1176086.5317371215;6108446.373120733;23549.0;1374.0;1748.4022966649115;1748.4022966649115;car;701.2005678944524
132298;0;0;1175655.2181110189;6108619.2882712735;1176667.7385106068;6108725.767446285;23582.0;1424.0;2173.779979752358;2173.779979752358;car;1018.1038131216545
84471;0;0;1178430.4748086273;6110455.438769031;1176303.3086985932;6108284.720730601;23883.0;1142.0;4097.404804676646;4097.404804676646;car;3039.2190546330967
192836;0;0;1231637.5431893677;6123247.120788077;1231111.0580724867;6123386.82252653;24812.0;298.0;1562.3610526550783;1562.3610526550783;car;544.7046484327191
40878;0;0;1183694.3849319222;6129293.134311774;1184630.1057381977;6128528.46927094;24481.0;655.0;3386.5167378512415;3386.5167378512415;car;1208.4229607096738
13670;1;1;1201734.9975215995;6128169.591473592;1202754.9568732232;6129209.522176534;24792.0;369.0;1982.265949495695;1982.265949495695;car;1456.630682734972
94627;0;0;1176566.1232457156;6108469.645271253;1175994.0779815465;6107756.491187543;24934.0;252.0;1217.0263646246813;1217.0263646246813;car;914.2343962960418
70339;0;0;1175754.81619568;6107536.221248617;1176726.273292447;6109758.64037946;24364.0;835.0;2824.779571526461;2824.779571526461;car;2425.4640141614564
31323;0;0;1184883.08479685;6115334.006252894;1186355.5032500369;6117542.979890667;24365.0;852.0;5934.565915377121;5934.565915377121;car;2654.727977337739
100963;0;0;1176544.329850628;6108567.446090552;1183742.6572473824;6111666.7519646175;23628.0;1653.0;14055.922181469141;14055.922181469141;car;7837.194281876773
