ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	2945.7828390038007	3547.6351333549073	
1	2932.9936725486423	3584.1635999460727	
2	2928.951385183453	3626.6075899540347	
3	2918.531165512945	3645.167867409282	
4	2913.5960975120215	3682.6408434037976	
5	2901.544574182892	3699.1223094821116	
6	2892.181314629588	3731.9550821677503	
7	2876.6626276492043	3735.9104330609675	
8	2871.999443902606	3756.453090086663	
9	2862.872506835044	3770.596167504856	
10	2862.919233609155	3795.8950851403156	
11	2852.9263502625886	3804.1953998758613	
12	2851.1819366218933	3832.5583499637205	
13	2857.1711618484806	3862.7459529629677	
14	2854.516477071716	3875.7274390251505	
15	2851.718285840625	3895.1434172181202	
16	2854.2818522661187	3918.758520451812	
17	2852.6607584564317	3938.878583232132	
18	2857.5047385452513	3954.1282020403382	
19	2850.873773927736	3954.3143199059446	
20	2843.9386890899264	3964.39646631999	
21	2834.4916781070224	3965.758826146607	
22	2829.49379648288	3974.5385872439315	
23	2832.218367777684	4003.525341841252	
24	2826.965351831433	4001.683018113448	
25	2822.4633364401075	4008.587413460925	
26	2819.1221292244536	4024.2315784688453	
27	2820.2870545548217	4029.9573388326576	
28	2825.005372484253	4043.3599457561195	
29	2827.114751952102	4062.128477538358	
30	2827.6619468311023	4070.33667630518	
31	2826.3441482383732	4077.24474559564	
32	2824.432116700744	4076.5338992198162	
33	2820.925640627225	4080.6999702974013	
34	2820.068780163018	4081.272050577801	
35	2819.530339289464	4086.078475757467	
36	2821.8550074417512	4095.883518143577	
37	2817.7517080361486	4103.133263577561	
38	2815.611083903976	4113.369465011105	
39	2821.319782791865	4126.395189578126	
40	2815.5681091020906	4133.809835088745	
41	2814.132149988158	4147.823821890665	
42	2816.0335898685653	4151.71190942583	
43	2812.3453126671648	4152.198314548237	
44	2810.0257783562442	4150.577773744012	
45	2807.502125552629	4151.865178195599	
46	2806.5698057605164	4150.786537214522	
47	2799.8131761859777	4146.28805064491	
48	2802.3265613848075	4154.188885155633	
49	2800.707964417464	4153.233023151862	
50	2799.4214419866985	4155.610579145438	
51	2799.9785177173408	4160.654786469178	
52	2798.9107878852706	4161.164547785797	
53	2798.09594515129	4163.6959638928565	
54	2798.2449223715403	4171.028703912736	
55	2798.2154978325248	4171.583797586695	
56	2798.541623661633	4170.595681923852	
57	2800.837131849691	4178.06344992426	
58	2800.3924912615685	4176.50104361589	
59	2802.3319729783007	4178.533142605773	
60	2799.9967604270073	4176.17518114497	
