id_personne;person_id;trip_id;departure_time;arrival_time;travel_time;following_purpose;is_commute;mode;preceeding_activity_index;following_activity_index
1681601000.0;2394;1.0;15.666666666666664;15.694714310147008;0.02804764348034361;shop;False;car;1.0;2.0
1681601000.0;2394;2.0;16.916666666666668;16.94471431014701;0.028047643480341833;home;False;car;2.0;3.0
40112102000.0;2395;1.0;8.5;8.754649465736726;0.2546494657367262;leisure;False;car_passenger;1.0;2.0
40112102000.0;2395;2.0;12.5;12.754649465736726;0.2546494657367262;home;False;car_passenger;2.0;3.0
20030601000.0;2521;1.0;8.5;8.749213464367228;0.24921346436722835;work;True;car;1.0;2.0
20030601000.0;2521;2.0;16.5;16.749213464367227;0.24921346436722658;home;False;car;2.0;3.0
20030601000.0;2521;3.0;19.5;19.83238845732065;0.3323884573206506;leisure;False;car;3.0;4.0
20030601000.0;2521;4.0;22.0;22.33238845732065;0.3323884573206506;home;False;car;4.0;5.0
11546301000.0;2522;1.0;7.75;8.022115521597721;0.2721155215977209;other;False;car;1.0;2.0
11546301000.0;2522;2.0;9.0;9.204272946178573;0.20427294617857328;other;False;car;2.0;3.0
11546301000.0;2522;3.0;9.366666666666667;9.457221830913891;0.09055516424722398;work;True;car;3.0;4.0
11546301000.0;2522;4.0;18.0;18.246059667560534;0.24605966756053377;home;False;car;4.0;5.0
11546301000.0;2522;5.0;18.58333333333333;18.814155564498353;0.23082223116502476;shop;False;car;5.0;6.0
11546301000.0;2522;6.0;19.0;19.344425799684288;0.3444257996842879;other;False;car;6.0;7.0
11546301000.0;2522;7.0;19.35;19.47515417385034;0.125154173850337;home;False;car;7.0;8.0
23533403000.0;2523;1.0;8.25;8.499509428585352;0.24950942858535186;education;True;walk;1.0;2.0
23533403000.0;2523;2.0;15.75;15.999509428585352;0.24950942858535186;home;False;walk;2.0;3.0
13365301000.0;2827;1.0;8.5;8.756474735597875;0.2564747355978749;work;True;walk;1.0;2.0
13365301000.0;2827;2.0;16.5;16.619933442749705;0.11993344274970497;other;False;pt;2.0;3.0
13365301000.0;2827;3.0;17.166666666666668;17.32415133449752;0.1574846678308539;home;False;pt;3.0;4.0
13365301000.0;2827;4.0;20.75;20.832;0.08200000000000074;other;False;car;4.0;5.0
13365301000.0;2827;5.0;20.83333333333333;20.85829536033435;0.02496202700102046;leisure;False;car;5.0;6.0
13365301000.0;2827;6.0;23.0;23.023371505556977;0.023371505556976757;other;False;car;6.0;7.0
13365301000.0;2827;7.0;23.08333333333333;23.166737122216087;0.08340378888275879;home;False;car;7.0;8.0
24144501000.0;2828;1.0;7.0;7.058867308414773;0.058867308414773056;other;False;car;1.0;2.0
24144501000.0;2828;2.0;7.116666666666666;7.438127021392282;0.32146035472561607;work;True;car;2.0;3.0
24144501000.0;2828;3.0;16.0;16.18957752062225;0.18957752062225097;shop;False;car;3.0;4.0
24144501000.0;2828;4.0;16.5;16.637105359662993;0.13710535966299275;other;False;car;4.0;5.0
24144501000.0;2828;5.0;16.75;16.808867308414772;0.05886730841477217;home;False;car;5.0;6.0
24144501000.0;2828;6.0;18.0;18.02276919187323;0.022769191873230454;shop;False;car;6.0;7.0
24144501000.0;2828;7.0;18.666666666666668;18.6894358585399;0.022769191873230454;home;False;car;7.0;8.0
40111402000.0;2841;1.0;10.333333333333334;10.371207841911003;0.037874508577669275;other;False;car_passenger;1.0;2.0
40111402000.0;2841;2.0;11.5;11.53787450857767;0.037874508577669275;home;False;car_passenger;2.0;3.0
40111402000.0;2841;3.0;12.0;12.176042912950223;0.17604291295022279;work;True;car;3.0;4.0
40111402000.0;2841;4.0;17.0;17.166125605491747;0.1661256054917466;leisure;False;car;4.0;5.0
40111402000.0;2841;5.0;17.666666666666668;17.956958437132176;0.29029177046550814;leisure;False;car_passenger;5.0;6.0
40111402000.0;2841;6.0;21.0;21.27402648923051;0.2740264892305113;home;False;car_passenger;6.0;7.0
24251103000.0;2843;1.0;7.5;7.516781895006226;0.0167818950062264;education;True;car_passenger;1.0;2.0
24251103000.0;2843;2.0;17.666666666666668;17.683448561672893;0.01678189500622551;home;False;car_passenger;2.0;3.0
7430601000.0;2883;1.0;5.5;5.783333333333332;0.2833333333333323;shop;False;car;1.0;2.0
