person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
163140;0;1209874.092504125;6148177.823321419;1210439.0621403158;6147797.21587605;21662.0;318.0;2563.858339728394;2563.858339728394;car;home;other;false;681.2141493593633
210135;0;1178512.5017149122;6180159.504377594;1178321.1556831477;6182858.9552749805;21868.0;499.0;4345.176910612119;4345.176910612119;car;home;other;false;2706.224020895483
157790;0;1227612.2786807925;6192249.897313714;1229057.7410083215;6189718.649332259;21763.0;818.0;8275.724947804023;8275.724947804023;car;home;other;false;2914.888965968755
272770;0;1228140.3621583057;6198847.720271952;1228340.5621297415;6195817.575643489;22156.0;596.0;5238.03712877864;5238.03712877864;car;home;other;false;3036.7509772729104
70455;0;1176381.3187317855;6109279.93461759;1175385.7105236757;6108423.310961255;22349.0;445.0;2563.630332301263;2563.630332301263;car;home;other;false;1313.4077023715663
182074;0;1183428.9688005056;6187182.978663402;1178969.1712396792;6181498.180880442;22141.0;929.0;10182.020398500717;10182.020398500717;car;home;other;false;7225.421795071447
205089;0;1236134.7448372813;6184359.34409547;1235210.5153865162;6182210.452290405;22443.0;743.0;3497.844853483094;3497.844853483094;car;home;other;false;2339.2169774393374
182073;0;1183428.9688005056;6187182.978663402;1182222.4818669986;6185589.428142918;23114.0;197.0;2298.576316914226;2298.576316914226;car;home;other;false;1998.7531068283831
298468;0;1227139.61454765;6195465.472572349;1226995.630333982;6198442.78221434;22443.0;913.0;5230.3756626390705;5230.3756626390705;car;home;other;false;2980.789183769474
157790;1;1229057.7410083215;6189718.649332259;1229068.3767409849;6187625.60298111;22963.0;515.0;5601.894040415424;5601.894040415424;car;other;work;false;2093.0733735027948
163140;1;1210439.0621403158;6147797.21587605;1207650.8498370098;6153772.953823648;22862.0;702.0;9170.621218332148;9170.621218332148;car;other;work;false;6594.207447955423
187700;0;1172973.4867409458;6180400.578335958;1172797.1764868628;6180374.184970766;23604.0;78.0;145.352707643354;145.352707643354;car;home;work;false;178.27483114825384
222553;0;1225331.399489716;6215420.5611165175;1226466.423109806;6215679.9349433705;23483.0;209.0;849.7297822471692;849.7297822471692;car;home;work;false;1164.282354164374
13670;0;1201658.0170905893;6128193.143869597;1201734.9975215995;6128169.591473592;23592.0;117.0;449.4752996736941;449.4752996736941;car;home;other;false;80.50280812556065
272770;1;1228340.5621297415;6195817.575643489;1228336.623162929;6194711.217299026;23356.0;362.0;3294.293626357873;3294.293626357873;car;other;work;false;1106.3653563908251
209546;0;1178090.0152206267;6184746.24160607;1173047.3861418553;6177307.997902611;22015.0;1742.0;15665.627351887822;15665.627351887822;car;home;other;false;8986.410708292318
229191;0;1207360.1255513267;6154382.386827044;1207524.64741965;6153633.706925917;23542.0;216.0;920.237811520833;920.237811520833;car;home;work;false;766.5435666078147
212047;0;1203938.4412707274;6172200.785783393;1203758.688141611;6172386.5546232555;23692.0;76.0;0.0;0.0;car;home;work;false;258.4980643852429
212880;0;1188292.7440801803;6188266.3913560705;1187362.5522606946;6188777.985173755;23435.0;397.0;1774.8713143888242;1774.8713143888242;car;home;work;false;1061.5955234134628
82329;0;1176637.3088614224;6108870.512067679;1176301.26937785;6108843.739449905;23547.0;287.0;1216.3983541812897;1216.3983541812897;car;home;other;false;337.10429778045426
142112;0;1225621.1998267502;6079089.895262692;1221661.686365218;6075854.898461769;23070.0;830.0;6848.384884590317;6848.384884590317;car;home;other;false;5113.017812802554
149595;0;1193096.9359592656;6187402.5346503435;1193687.0768412366;6186287.034323035;23644.0;257.0;1514.4067213810645;1514.4067213810645;car;home;work;false;1261.9854360487807
247267;0;1215710.0417002565;6195144.943392125;1215115.195193212;6195763.282566719;23478.0;424.0;1577.0505412185307;1577.0505412185307;car;home;work;false;858.0126466319675
187293;0;1172046.1731298948;6179002.451220757;1172960.3555720507;6180371.830797531;23604.0;313.0;2419.3810005500004;2419.3810005500004;car;home;work;false;1646.490195181913
228451;0;1207899.0227694483;6153317.750417858;1207369.329435541;6154141.956916807;23542.0;402.0;1504.3253551345706;1504.3253551345706;car;home;work;false;979.7404660905601
70018;0;1176784.4171727565;6110478.4262122065;1176345.3619537503;6108064.273093887;23462.0;492.0;2858.0650725719524;2858.0650725719524;car;home;work;false;2453.753199494581
276149;0;1228174.4124578005;6199952.359701896;1226995.630333982;6198442.78221434;23103.0;853.0;4872.553308160742;4872.553308160742;car;home;other;false;1915.294099184457
309852;0;1228425.8441035843;6198421.156657471;1227729.3759403038;6199926.3311362695;23468.0;493.0;2671.0863663774503;2671.0863663774503;car;home;work;false;1658.4987531164102
69130;0;1193728.7878959621;6082051.512773006;1195839.3967756985;6082657.844835421;23462.0;507.0;2628.4275170948104;2628.4275170948104;car;home;work;false;2195.9755037646364
245016;0;1234722.7639456028;6175771.713612003;1233459.9062998854;6175631.010281831;23866.0;167.0;689.0697917376317;689.0697917376317;car;home;other;false;1270.6718146195633
277975;0;1228666.2098318;6199703.458201094;1228306.1816954368;6198958.138498071;23792.0;250.0;1044.4777474709038;1044.4777474709038;car;home;work;false;827.7207975443257
143986;0;1224157.5262033301;6075400.150981385;1224440.0253202538;6075198.588827455;23870.0;225.0;1193.0534605167004;1193.0534605167004;car;home;work;false;347.03465671238956
307454;0;1227905.1625309011;6200376.340635975;1227964.3401180992;6200655.088451128;23900.0;231.0;0.0;278.3761484425532;walk;home;leisure;false;284.9602275396903
248240;0;1217406.0233285315;6163105.333658591;1218102.0102648125;6163268.0505503565;23838.0;313.0;2056.353629513009;2056.353629513009;car;home;other;false;714.7549246697266
108313;0;1176484.8618691573;6109050.554357794;1176538.5890092996;6108178.385216437;23728.0;438.0;979.5670029506211;979.5670029506211;car;home;work;false;873.8224171552201
22656;0;1179565.5051733172;6125052.87179232;1177345.0428071953;6125245.962439604;23550.0;632.0;3491.974813872486;3491.974813872486;car;home;work;false;2228.842102400223
132300;0;1175655.2181110189;6108619.2882712735;1176667.7385106068;6108725.767446285;23539.0;696.0;2173.779979752358;2173.779979752358;car;home;work;false;1018.1038131216545
150228;0;1193111.9483857686;6187946.042826576;1193687.0768412366;6186287.034323035;23746.0;515.0;2477.324154519908;2477.324154519908;car;home;work;false;1755.870711388371
181608;0;1183428.9688005056;6187182.978663402;1187621.0135513733;6188646.75954495;23751.0;511.0;5299.586030106277;5299.586030106277;car;home;work;false;4440.258287809764
237882;0;1223659.9463750392;6227466.278694626;1223741.3709911734;6228907.325790029;23727.0;538.0;3089.2271531787846;3089.2271531787846;car;home;work;false;1443.345661746434
159385;0;1227560.7362551147;6192367.690004805;1229068.3767409849;6187625.60298111;23678.0;596.0;6826.499482791627;6826.499482791627;car;home;work;false;4975.979217694884
210133;0;1178512.5017149122;6180159.504377594;1172797.1764868628;6180374.184970766;23406.0;876.0;8794.362065781279;8794.362065781279;car;home;work;false;5719.355752133528
235223;0;1228462.7174563282;6121572.091407519;1231111.0580724867;6123386.82252653;23604.0;728.0;5032.037625126133;5032.037625126133;car;home;work;false;3210.444993066119
267756;0;1229619.520741989;6176507.822184926;1231069.3602642738;6181482.358988945;23505.0;839.0;8636.679106462716;8636.679106462716;car;home;work;false;5181.510499354763
106360;0;1175670.796154908;6107779.695278814;1176523.0783688696;6108967.107848851;23496.0;876.0;2137.763725641142;2137.763725641142;car;home;work;false;1461.6201913346763
254317;0;1236828.380919338;6164094.081444997;1236544.6329147622;6161152.877996577;23582.0;803.0;5602.306222135152;5602.306222135152;car;home;work;false;2954.858821517654
134577;0;1181294.1716057567;6111345.586028354;1179025.3643991677;6109512.584268029;23292.0;1095.0;9345.178601526595;9345.178601526595;car;home;other;false;2916.7416056322704
121544;0;1177862.5339555214;6110716.310389325;1176303.3086985932;6108284.720730601;23666.0;821.0;4080.7831129906713;4080.7831129906713;car;home;work;false;2888.5656769852308
218540;0;1220095.428589755;6191112.420128474;1219834.2836208977;6192545.718384973;24096.0;420.0;2400.743798494461;2400.743798494461;car;home;work;false;1456.8941577348248
95290;0;1176642.7240876968;6108068.335152362;1176290.2064894424;6109090.480006485;23935.0;587.0;1363.2144442248534;1363.2144442248534;car;home;work;false;1081.2255823326602
215180;0;1188530.141759327;6187656.204170662;1187730.0199204958;6188635.615885993;24210.0;391.0;2284.0797901193123;2284.0797901193123;car;home;work;false;1264.6905807750838
170848;0;1219515.6833072894;6227732.489097199;1219191.8070261981;6228389.05943232;24188.0;428.0;2239.4413918877726;2239.4413918877726;car;home;work;false;732.1068572375608
284836;0;1228448.7400851673;6198500.40443803;1228336.623162929;6194711.217299026;23790.0;845.0;5602.289662711061;5602.289662711061;car;home;work;false;3790.8454701612436
292190;0;1227847.941817738;6200250.9334841985;1228620.646591003;6199042.29662401;23774.0;869.0;2047.6274806907963;2047.6274806907963;car;home;work;false;1434.5297928003304
142130;0;1223623.9283660061;6069325.169090251;1224308.9365977384;6075318.778182536;23423.0;1222.0;6760.567753340133;6760.567753340133;car;home;work;false;6032.626809994261
143383;0;1224521.7144415672;6075324.999999024;1224117.3109301943;6075177.239720952;23948.0;704.0;608.1879689432701;608.1879689432701;car;home;work;false;430.5523194533686
262709;0;1230439.904578256;6112036.74949202;1230346.1471315823;6112869.019150637;24384.0;279.0;1109.9707144150507;1109.9707144150507;car;home;work;false;837.5340252555732
285140;0;1226834.5604284771;6199491.437969015;1228665.1731496095;6199040.463013349;23790.0;874.0;4443.80981524721;4443.80981524721;car;home;work;false;1885.3438268415177
186889;0;1171905.262554482;6180051.049950866;1172960.3555720507;6180371.830797531;24504.0;200.0;1343.419786948062;1343.419786948062;car;home;work;false;1102.7790473657358
212271;0;1204318.370280011;6173213.870978182;1209480.8700048362;6149649.921073273;22179.0;2534.0;34988.57877825668;34988.57877825668;car;home;other;false;24122.834380103373
148455;0;1196606.4119576816;6169469.7591999;1205433.417657881;6172737.180162256;22823.0;1907.0;12746.404962325616;12746.404962325616;car;home;other;false;9412.33602123279
270697;0;1228461.5687539054;6199305.966958243;1228773.7559539862;6199942.077498626;24258.0;475.0;1701.9715438389346;1701.9715438389346;car;home;work;false;708.5883625068293
301906;0;1226928.0081893029;6195693.266513232;1227450.3370840573;6195738.946388705;24494.0;243.0;1090.2451293564886;1090.2451293564886;car;home;other;false;524.3225393958837
78311;0;1176565.423052105;6108820.378857348;1176495.3266913597;6109688.3038367815;24213.0;538.0;1061.9428253212432;1061.9428253212432;car;home;work;false;870.7509803119436
84547;0;1176234.3382457;6110297.509741511;1176345.3619537503;6108064.273093887;23954.0;836.0;2653.225913139986;2653.225913139986;car;home;work;false;2235.9946753162044
161271;0;1217607.271614367;6214442.426661445;1217917.7122998289;6214699.756206697;24414.0;378.0;1374.634504118931;1374.634504118931;car;home;work;false;403.2268766460318
215950;0;1210806.4937557266;6171925.428428934;1214816.0819055259;6170347.789551737;23630.0;1163.0;8286.269831309977;8286.269831309977;car;home;work;false;4308.798157010218
266945;0;1231295.833044663;6177813.4282551;1231131.3122493;6178070.492694482;24619.0;190.0;0.0;228.368737509771;walk;home;leisure;false;305.203568298053
52207;0;1192583.54222664;6082239.473368537;1192899.623873488;6080337.656360358;24196.0;614.0;4336.767926058906;4336.767926058906;car;home;other;false;1927.9044426713313
83797;0;1175965.960959757;6108194.590730912;1176636.368719786;6108989.719031791;24072.0;743.0;1528.8097251894098;1528.8097251894098;car;home;work;false;1040.0363356950627
290771;0;1228744.4447800862;6198640.246402841;1227964.5982061364;6199768.577428874;24281.0;546.0;2077.9446273761996;2077.9446273761996;car;home;work;false;1371.6018311481407
251861;0;1237668.6673419527;6165760.440377893;1236527.4018359645;6163339.230456017;24297.0;565.0;4394.083807003461;4394.083807003461;car;home;work;false;2676.7040256533824
173917;0;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;24870.0;0.0;0.0;0.0;car;home;work;false;0.0
279862;0;1228009.4880114954;6195972.057227742;1229068.3767409849;6187625.60298111;23792.0;1082.0;9667.984757946695;9667.984757946695;car;home;work;false;8413.355087749364
209546;1;1173047.3861418553;6177307.997902611;1172797.1764868628;6180374.184970766;23855.0;1027.0;3770.7621805147687;3770.7621805147687;car;other;work;false;3076.379041726265
307445;0;1228476.794675753;6199957.750333887;1228429.4275418064;6199105.155962488;24167.0;729.0;891.6260561144306;891.6260561144306;car;home;work;false;853.9091330577402
190112;0;1231360.8240850419;6123244.147925308;1231023.3021778704;6123201.045725143;24812.0;92.0;360.96301232679707;360.96301232679707;car;home;work;false;340.2628946561203
70455;1;1175385.7105236757;6108423.310961255;1176086.5317371215;6108446.373120733;23549.0;1374.0;1748.4022966649115;1748.4022966649115;car;other;work;false;701.2005678944524
105553;0;1176623.094466501;6108181.796357535;1176290.2064894424;6109090.480006485;24246.0;693.0;1273.303810599554;1273.303810599554;car;home;work;false;967.7398302952987
205089;1;1235210.5153865162;6182210.452290405;1231069.3602642738;6181482.358988945;23643.0;1300.0;4834.928340577533;4834.928340577533;car;other;work;false;4204.674256360921
240244;0;1228218.8164643226;6171623.509922059;1226553.8158708983;6170674.413399717;24561.0;401.0;2133.0516066198616;2133.0516066198616;car;home;work;false;1916.5101577674366
285633;0;1228113.5098680337;6199337.6640326185;1228532.8602104508;6199722.603113949;24061.0;902.0;1533.426488228858;1533.426488228858;car;home;work;false;569.2387952530613
229192;0;1207360.1255513267;6154382.386827044;1207166.5741542345;6154141.9013204705;24615.0;348.0;0.0;417.6746427339919;walk;home;leisure;false;308.6995662263521
299134;0;1227492.6772592962;6199093.034924546;1228643.6516845622;6199296.919637787;23733.0;1253.0;3270.0656325555133;3270.0656325555133;car;home;work;false;1168.8931105579304
283637;0;1228021.6511503337;6197405.382715318;1228728.4647303224;6199740.522684872;24106.0;890.0;2995.8393720933727;2995.8393720933727;car;home;work;false;2439.767225426251
142112;1;1221661.686365218;6075854.898461769;1224278.0949590006;6075174.949993059;24270.0;743.0;4943.517318573678;4943.517318573678;car;other;work;false;2703.31719369396
268674;0;1230559.0623409622;6177339.917762127;1230187.2323608862;6176799.860908227;24822.0;197.0;573.7508874908231;573.7508874908231;car;home;other;false;655.6820414861446
202599;0;1229501.328693824;6182357.634738801;1228336.623162929;6194711.217299026;24075.0;955.0;12905.8787728552;12905.8787728552;car;home;work;false;12408.36576854511
14376;0;1216128.7651967688;6051870.150106307;1216526.2066819225;6051994.368479067;24724.0;309.0;1013.4083027866401;1013.4083027866401;car;home;work;false;416.40117465305093
172778;0;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;25035.0;0.0;0.0;0.0;car;home;work;false;0.0
276149;1;1226995.630333982;6198442.78221434;1228353.3817022971;6199090.964703676;24303.0;736.0;4774.776261500956;4774.776261500956;car;other;work;false;1504.5362467033478
28237;0;1233417.0216438863;6093283.4533369355;1233373.1601670003;6094082.166854105;24922.0;156.0;1363.4399624965959;1363.4399624965959;car;home;other;false;799.9169404781043
273501;0;1227964.6769688614;6195230.039700583;1228681.9578875457;6199942.828222234;24090.0;994.0;5839.934920445279;5839.934920445279;car;home;work;false;4767.06068412347
84471;0;1178430.4748086273;6110455.438769031;1176303.3086985932;6108284.720730601;23883.0;1204.0;4097.404804676646;4097.404804676646;car;home;work;false;3039.2190546330967
192836;0;1231637.5431893677;6123247.120788077;1231111.0580724867;6123386.82252653;24812.0;298.0;1562.3610526550783;1562.3610526550783;car;home;work;false;544.7046484327191
40878;0;1183694.3849319222;6129293.134311774;1184630.1057381977;6128528.46927094;24481.0;655.0;3386.5167378512415;3386.5167378512415;car;home;work;false;1208.4229607096738
34510;0;1213382.5966509902;6065347.047551136;1211954.9565336993;6065552.479712834;24875.0;264.0;1206.1611555971012;1206.1611555971012;car;home;work;false;1442.3448538951914
131100;0;1175400.0344010517;6107521.966605024;1176576.6003635156;6108963.325253836;24042.0;1099.0;2509.42527697454;2509.42527697454;car;home;work;false;1860.5972746760929
13670;1;1201734.9975215995;6128169.591473592;1202754.9568732232;6129209.522176534;24792.0;369.0;1982.265949495695;1982.265949495695;car;other;work;false;1456.630682734972
306057;0;1228716.5123364613;6199891.641131633;1228388.7113146242;6198999.636845557;23960.0;1203.0;980.0946347771769;980.0946347771769;car;home;work;false;950.3289726696435
256197;0;1210085.8565916438;6147100.040308222;1207650.8498370098;6153772.953823648;24456.0;728.0;10067.368830780024;10067.368830780024;car;home;work;false;7103.311388322418
182073;1;1182222.4818669986;6185589.428142918;1185096.522419382;6186785.576316688;24314.0;902.0;7108.854817092899;7108.854817092899;car;other;work;false;3113.017756190413
31323;0;1184883.08479685;6115334.006252894;1186355.5032500369;6117542.979890667;24365.0;852.0;5934.565915377121;5934.565915377121;car;home;other;false;2654.727977337739
267971;0;1230476.587303813;6177844.94436066;1228359.3947857912;6191307.853764534;23786.0;1484.0;17870.810162422476;17870.810162422476;car;home;work;false;13628.368712919253
69129;0;1193728.7878959621;6082051.512773006;1194109.6778173617;6083100.764179457;24917.0;355.0;3363.511426754851;3363.511426754851;car;home;other;false;1116.2462300776792
274365;0;1227811.0254666458;6200008.158194843;1227865.7836429563;6200226.285478538;25111.0;166.0;494.93760932912005;494.93760932912005;car;home;other;false;224.89546408292202
100963;0;1176544.329850628;6108567.446090552;1183742.6572473824;6111666.7519646175;23628.0;1653.0;14055.922181469141;14055.922181469141;car;home;other;false;7837.194281876773
283050;0;1228288.0761701188;6197879.723426898;1228704.689646385;6198825.50403575;24967.0;319.0;1216.0848427430428;1216.0848427430428;car;home;other;false;1033.4736323137488
248240;1;1218102.0102648125;6163268.0505503565;1217998.2571643197;6163721.100177227;25038.0;270.0;1128.8138105117168;1128.8138105117168;car;other;work;false;464.7780871222093
221735;0;1235833.7334502311;6171272.723300264;1237355.1353541724;6163595.034491496;24414.0;897.0;9276.207355399603;9276.207355399603;car;home;other;false;7826.977015272145
145655;0;1224155.4046652461;6075497.371836217;1224389.0694111225;6075155.222218771;25035.0;277.0;1110.761759248841;1110.761759248841;car;home;work;false;414.3254447697599
82329;1;1176301.26937785;6108843.739449905;1176086.5317371215;6108446.373120733;25151.0;181.0;890.7984257294743;890.7984257294743;car;other;work;false;451.6771567234275
272979;0;1227693.8782256607;6197155.910388788;1228326.6671548034;6197439.143633542;25088.0;261.0;1057.8328415737615;1057.8328415737615;car;home;other;false;693.2841407238449
236139;0;1229463.8224431775;6121067.535246329;1231111.0580724867;6123386.82252653;23772.0;1578.0;4001.5469034180164;4001.5469034180164;car;home;work;false;2844.7282307046034
275221;0;1228326.6671548034;6197439.143633542;1228238.087347478;6198011.902900804;25087.0;263.0;375.57648142338246;375.57648142338246;car;home;other;false;579.5684260728283
210135;1;1178321.1556831477;6182858.9552749805;1179077.2970295087;6182016.196553074;25062.0;293.0;1830.844617999839;1830.844617999839;car;other;work;false;1132.2508551670255
188688;0;1172268.959120973;6180047.317256243;1172410.2910582074;6179906.655520397;24982.0;384.0;2229.0040224977597;2229.0040224977597;car;home;other;false;199.4002016387081
94627;0;1176566.1232457156;6108469.645271253;1175994.0779815465;6107756.491187543;24934.0;441.0;1217.0263646246813;1217.0263646246813;car;home;other;false;914.2343962960418
198330;0;1182560.3766515919;6182010.441095736;1172966.6245096992;6180245.9673797;23817.0;1575.0;14963.125279064683;14963.125279064683;car;home;work;false;9754.662867298408
263521;0;1229862.365928371;6114858.961964802;1230346.1471315823;6112869.019150637;24918.0;477.0;3533.2278498373876;3533.2278498373876;car;home;work;false;2047.9054314656871
47357;0;1197672.3032403789;6095536.942136373;1196126.8639534046;6093686.327559827;25184.0;249.0;3563.2003704468298;3563.2003704468298;car;home;work;false;2411.04892124772
