pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---other	36	65	34	18	10	13	7	4	0	3	3	1	6
home---education	68	46	26	13	9	6	5	2	3	3	4	5	10
home---leisure	530	168	85	63	24	17	24	12	22	49	78	22	48
home---other	183	141	126	71	53	38	33	23	27	7	17	9	119
home---pt interaction	2	6	2	4	1	3	1	0	0	0	0	0	2
home---shop	167	88	66	34	27	19	15	8	6	7	10	7	79
home---work	103	155	112	82	66	57	68	55	55	36	21	18	693
leisure---home	534	200	101	61	29	22	21	13	24	46	81	21	50
leisure---leisure	1	3	1	0	0	0	0	1	0	0	0	1	1
leisure---work	64	50	45	25	26	18	9	14	8	5	4	7	85
other---home	135	186	144	83	57	50	25	28	28	11	9	11	86
other---leisure	28	38	29	16	14	8	4	4	5	3	6	4	57
other---other	39	53	39	23	17	15	20	13	8	4	2	3	65
other---shop	26	30	17	15	18	5	5	3	4	1	2	1	47
other---work	3	7	5	5	4	0	0	2	1	1	1	0	10
pt interaction---home	0	6	4	3	1	1	1	0	0	0	0	0	2
pt interaction---pt interaction	6	3	1	3	3	2	2	4	1	0	1	2	22
pt interaction---shop	1	0	0	0	0	1	0	0	0	0	0	0	0
pt interaction---work	3	7	4	2	1	0	0	0	0	1	0	0	1
shop---home	150	79	52	22	23	14	11	9	4	10	5	6	64
shop---leisure	15	13	13	10	4	5	1	1	6	1	0	0	3
shop---pt interaction	2	1	1	0	2	0	0	0	0	0	0	0	0
shop---work	18	27	11	16	9	3	9	3	0	1	2	2	69
work---home	83	146	118	92	66	65	54	65	58	42	23	25	637
work---leisure	29	30	14	5	9	6	10	3	2	1	5	1	46
work---other	20	37	44	29	21	16	20	19	12	12	5	8	96
work---pt interaction	2	4	4	1	1	0	0	0	0	0	0	0	0

average trip duration: 4103.908084696824 seconds = 01:08:23
